1461,1,Servicos de informatica e congeneres.
1462,2,Servicos de pesquisas e desenvolvimento de qualquer natureza.
1463,3,"Servicos prestados mediante locacao, cessao de direito de uso e congeneres."
1464,4,"Servicos de saude, assistencia medica e congeneres."
1465,5,Servicos de medicina e assistencia veterinaria e congeneres.
1466,6,"Servicos de cuidados pessoais, estetica, atividades fisicas e congeneres."
1467,7,"Servicos relativos a engenharia, arquitetura, geologia, urbanismo, construcao civil, manutencao, limpeza, meio ambiente, saneamento e congeneres."
1468,8,"Servicos de educacao, ensino, orientacao pedag?gica e educacional, instrucao, treinamento e avaliacao pessoal de qualquer grau ou natureza."
1469,9,"Servicos relativos a hospedagem, turismo, viagens e congeneres."
1470,10,Servicos de intermediacao e congeneres.
1471,11,"Servicos de guarda, estacionamento, armazenamento, vigilancia e congeneres."
1472,12,"Servicos de diversoes, lazer, entretenimento e congeneres."
1473,13,"Servicos relativos a fonografia, fotografia, cinematografia e reprografia."
1474,14,Servicos relativos a bens de terceiros.
1475,15,"Servicos relacionados ao setor bancario ou financeiro, inclusive aqueles prestados por instituicoes financeiras autorizadas a funcionar pela Uniao ou por quem de direito."
1476,16,Servicos de transporte de natureza municipal.
1477,17,"Servicos de apoio tecnico, administrativo, juridico, contabil, comercial e congeneres."
1478,18,Servicos de regulacao de sinistros vinculados a contratos de seguros; inspecao e avaliacao de riscos para cobertura de contratos de seguros; prevencao e gerencia de riscos seguraveis e congeneres.
1479,19,"Servicos de distribuicao e venda de bilhetes e demais produtos de loteria, bingos, cartoes, pules ou cupons de apostas, sorteios, premios, inclusive os decorrentes de titulos de capitalizacao e congeneres."
1480,20,"Servicos portuarios, aeroportuarios, ferroportuarios, de terminais rodoviarios, ferroviarios e metroviarios."
1481,21,"Servicos de registros publicos, cartorarios e notariais."
1482,22,Servicos de exploracao de rodovia.
1483,23,"Servicos de programacao e comunicacao visual, desenho industrial e congeneres."
1484,24,"Servicos de chaveiros, confeccao de carimbos, placas, sinalizacao visual, banners, adesivos e congeneres."
1485,25,Servicos funerarios.
1486,26,"Servicos de coleta, remessa ou entrega de correspondencias, documentos, objetos, bens ou valores, inclusive pelos correios e suas agencias franqueadas; courrier e congeneres."
1487,27,Servicos de assistencia social.
1488,28,Servicos de avaliacao de bens e servicos de qualquer natureza.
1489,29,Servicos de biblioteconomia.
1490,30,"Servicos de biologia, biotecnologia e quimica."
1491,31,"Servicos tecnicos em edificacoes, eletronica, eletrotecnica, mecanica, telecomunicacoes e congeneres."
1492,32,Servicos de desenhos tecnicos.
1493,33,"Servicos de desembaraco aduaneiro, comissarios, despachantes e congeneres."
1494,34,"Servicos de investigacoes particulares, detetives e congeneres."
1495,35,"Servicos de reportagem, assessoria de imprensa, jornalismo e relacoes publicas."
1496,36,Servicos de meteorologia.
1497,37,"Servicos de artistas, atletas, modelos e manequins."
1498,38,Servicos de museologia.
1499,39,Servicos de ourivesaria e lapidacao.
1500,40,Servicos relativos a obras de arte sob encomenda.
